InvoiceId,CustomerId,InvoiceNumber,SalesOrderNumber,InvoiceDate,InvoicedNetValue,InvoiceTaxValue,CretaedDate,LastModifiedDate
2705676,758555,1111504073,1111703824,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:11:49.097,2024-12-30 20:59:28.653
2705703,758555,1111504074,1111703837,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:13:47.187,2024-12-30 20:59:28.937
2705730,758555,1111504075,1111703778,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:15:41.650,2024-12-30 20:59:29.173
2705757,758555,1111504076,1111703830,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:17:31.207,2024-12-30 20:59:29.390
2705784,758555,1111504077,1111703934,2024-12-31 00:00:00.000,1778.16,355.63,2024-12-30 19:19:08.103,2024-12-30 20:59:29.597
2705811,758555,1111504078,1111703896,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:20:34.527,2024-12-30 20:59:29.863
2705838,758555,1111504079,1111703899,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:21:54.043,2024-12-30 20:59:30.067
2705865,758555,1111504080,1111703833,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:23:53.403,2024-12-30 20:59:30.240
2705892,758555,1111504081,1111704032,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:25:26.883,2024-12-30 20:59:30.520
2705919,758555,1111504082,1111703931,2024-12-31 00:00:00.000,1778.16,355.63,2024-12-30 19:26:55.280,2024-12-30 20:59:30.740
2705946,758555,1111504083,1111703911,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:28:56.050,2024-12-30 20:59:30.937
2705973,758555,1111504084,1111703905,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:31:38.597,2024-12-30 20:59:31.177
2706000,758555,1111504085,1111704035,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:33:24.730,2024-12-30 20:59:31.403
2706027,758555,1111504086,1111704038,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:35:13.660,2024-12-30 20:59:32.067
2706054,758555,1111504087,1111704026,2024-12-31 00:00:00.000,889.08,177.82,2024-12-30 19:36:46.213,2024-12-30 20:59:32.333
2706091,758555,1111504088,1111703996,2024-12-31 00:00:00.000,1075.00,215.00,2024-12-30 20:03:37.160,2024-12-30 20:59:32.553
2706122,758555,1111504090,1111703849,2024-12-31 00:00:00.000,1612.50,322.50,2024-12-30 20:07:54.000,2024-12-30 20:59:32.677
2706137,758555,1111504091,1111703894,2024-12-31 00:00:00.000,1075.00,215.00,2024-12-30 20:09:45.240,2024-12-30 20:59:32.820
2706152,758555,1111504092,1111703891,2024-12-31 00:00:00.000,1075.00,215.00,2024-12-30 20:12:15.570,2024-12-30 20:59:32.953
2720803,130259,1111504171,1111701864,2025-01-02 00:00:00.000,50070.00,10014.00,2025-01-02 10:18:03.260,2025-01-02 11:05:05.273
2734610,134165,1111504185,1111703855,2025-01-07 00:00:00.000,29831.63,0.00,2025-01-07 09:13:36.680,2025-01-07 09:15:31.923
2742988,2739512,1111504218,1111504218,2025-01-08 00:00:00.000,1000.00,0.00,2025-01-08 15:02:32.290,2025-01-08 17:32:01.310
2757499,134165,1111504249,1111704344,2025-01-13 00:00:00.000,600.00,0.00,2025-01-13 16:13:48.320,2025-01-13 16:14:54.460
2771162,2035013,1111504259,1111702905,2025-01-16 00:00:00.000,6170.45,1234.09,2025-01-16 10:56:51.497,2025-01-16 11:03:02.233
2775779,123842,1111504270,1111700157,2025-01-17 00:00:00.000,0.00,0.00,2025-01-17 09:34:26.110,2025-01-17 09:35:01.507
2782201,2552151,1111504287,1111704403,2025-01-20 00:00:00.000,1202.00,240.40,2025-01-20 12:14:57.387,2025-01-20 12:17:42.137
2843741,2843231,1111504314,1111704464,2025-01-24 00:00:00.000,650.00,130.00,2025-01-24 12:14:09.123,2025-01-24 12:18:47.407
2851788,135374,1111504335,1111704462,2025-01-27 00:00:00.000,0.00,0.00,2025-01-27 16:01:38.997,2025-01-27 16:02:17.980
2857722,2851144,1111504337,1111504337,2025-01-28 00:00:00.000,844.00,168.80,2025-01-28 15:13:40.370,2025-01-28 15:24:17.743
2692093,758555,1111503955,1111703232,2024-12-31 00:00:00.000,2485.50,497.10,2024-12-30 10:46:39.630,2024-12-30 17:26:58.233
2692158,758555,1111503956,1111703847,2024-12-31 00:00:00.000,4971.00,994.20,2024-12-30 10:49:22.560,2024-12-30 17:26:59.143
2692193,758555,1111503957,1111703892,2024-12-31 00:00:00.000,2485.50,497.10,2024-12-30 10:51:00.710,2024-12-30 17:26:59.693
2692226,758555,1111503958,1111703889,2024-12-31 00:00:00.000,2485.50,497.10,2024-12-30 10:52:34.077,2024-12-30 17:27:00.363
2692259,758555,1111503959,1111703939,2024-12-31 00:00:00.000,5366.00,1073.20,2024-12-30 10:54:29.723,2024-12-30 17:27:01.020
2692295,758555,1111503960,1111703945,2024-12-31 00:00:00.000,7851.50,1570.30,2024-12-30 10:57:17.020,2024-12-30 17:27:01.553
2692333,758555,1111503961,1111703901,2024-12-31 00:00:00.000,2880.50,576.10,2024-12-30 10:58:53.087,2024-12-30 17:27:02.233
2692367,758555,1111503962,1111703670,2024-12-31 00:00:00.000,5761.00,1152.20,2024-12-30 11:00:35.537,2024-12-30 17:27:02.660
2692403,758555,1111503963,1111703927,2024-12-31 00:00:00.000,4971.00,994.20,2024-12-30 11:02:16.970,2024-12-30 17:27:03.553
2692438,758555,1111503964,1111703567,2024-12-31 00:00:00.000,2485.50,497.10,2024-12-30 11:03:51.043,2024-12-30 17:27:04.117
2692471,758555,1111503965,1111703826,2024-12-31 00:00:00.000,2485.50,497.10,2024-12-30 11:05:22.753,2024-12-30 17:27:04.793
2692504,758555,1111503966,1111703792,2024-12-31 00:00:00.000,10732.00,2146.40,2024-12-30 11:07:09.910,2024-12-30 17:27:05.283
