ItemId,Code,ProductGroupId,ProductGroup,ProductType
1000716,SABSNX15QTR,163433,"LCD Screens, Monitors and TVs",Hardware
1002531,1TT-03,163531,Other Hardware,Materials
1002972,RK-3T-B,163531,Other Hardware,Materials
1006939,CLOUD-SERVER-LICENCE,494326,Software and Licensing (Physical),Software
1009545,SC-CLOUD-BASICFLOORMAP-RENEW,494326,Software and Licensing (Physical),Software
1009708,55UR762H3ZC,163433,"LCD Screens, Monitors and TVs",Hardware
1009887,SC-CLOUD-ENTROOM-RENEW,494326,Software and Licensing (Physical),Software
1009909,SC-CLOUD-ENTDESK-RENEW,494326,Software and Licensing (Physical),Software
1009931,SC-CLOUD-DEVICEMGT-RENEW,494326,Software and Licensing (Physical),Software
1033195,LH50QMBEBGCXEN,163433,"LCD Screens, Monitors and TVs",Hardware
1043939,TSS-1070-T-W-S-LB-KIT,163321,Control System Interfaces,Hardware
1043980,SW-XIOC-API,163678,Software & Licensing (Contract),Software
1045134,ESF655P,163510,"Mounts, Trollies etc",Hardware
1045687,STP680,163510,"Mounts, Trollies etc",Hardware
1045981,LH43QMRTBGCXEN,163461,"LED Screens, Monitors and TVs",Hardware
1046013,PRICEDIFF,163503,Miscellaneous Items,Materials
1047314,QE50Q60CAUXXU,163433,"LCD Screens, Monitors and TVs",Hardware
1047361,QE43Q60CAUXXU,163433,"LCD Screens, Monitors and TVs",Hardware
1047399,HG32T5300EZXXU,163433,"LCD Screens, Monitors and TVs",Hardware
1047448,BEAM2UK1BLK,163615,Speakers,Hardware
1047472,AMPG1UK1BLK,163265,Amplifiers,Hardware
1047522,EB1,163454,Lectern and Rack Accessories,Hardware
1047556,U2,163454,Lectern and Rack Accessories,Hardware
1047590,U1,163454,Lectern and Rack Accessories,Hardware
1047614,VT1,163454,Lectern and Rack Accessories,Hardware
1050227,MA-SRSR-2-13,163454,Lectern and Rack Accessories,Hardware
1057813,U2V,163454,Lectern and Rack Accessories,Hardware
1064385,NHD-CTL-PRO-v2,163356,Signal Distribution,Hardware
1066352,CS-DESK-STYLUSKIT,163636,Video and Audio Conferencing Accessories,Hardware
1066999,2215-69385-001,163510,"Mounts, Trollies etc",Hardware
1076318,DM-TX-200-C-2G-B-T,163356,Signal Distribution,Hardware
1076345,VC-4-PC-3,163601,"Digital Signage, Video Wall Components",Hardware
1077349,LH4360UHS-B1AG,163461,"LED Screens, Monitors and TVs",Hardware
1079174,BT-9905/B,163510,"Mounts, Trollies etc",Hardware
1082771,SP-63ER-12,163601,"Digital Signage, Video Wall Components",Hardware
1083252,LH24QBRBBGCXEN,163461,"LED Screens, Monitors and TVs",Hardware
1086052,65UH5J-H,163433,"LCD Screens, Monitors and TVs",Hardware
1090573,JH300A04,163461,"LED Screens, Monitors and TVs",Hardware
1091419,960-001339,163629,Video and Audio Conferencing,Hardware
1091458,994-000196,163657,Warranties,Warranty
1091636,960-001311,163629,Video and Audio Conferencing,Hardware
1092230,NL-SB42-BK,163615,Speakers,Hardware
1092263,GS308EPP-100PES,163356,Signal Distribution,Hardware
1105270,HC1.2-II,163461,"LED Screens, Monitors and TVs",Hardware
1111895,CON-SNT-CT1R60SC,494209,Third Party Warranty,Warranty
1147267,505921,163489,Microphones,Hardware
1147715,508851,163489,Microphones,Hardware
1147744,508987,163496,Microphone Accessories,Hardware
1148546,43UH5J-H,163461,"LED Screens, Monitors and TVs",Hardware
1151457,MA-CFR-12-16,163454,Lectern and Rack Accessories,Hardware
1153289,IC6LPT-W-T-EACH,163622,Speaker Accessories,Hardware
1153335,BT-7017/B,163510,"Mounts, Trollies etc",Hardware
1153361,DVB-S/S2-IP,163356,Signal Distribution,Hardware
1154223,910-D7GE-081,163531,Other Hardware,Materials
1157320,86UH5J-H,163461,"LED Screens, Monitors and TVs",Hardware
1158378,NUC13ANKi5,163601,"Digital Signage, Video Wall Components",Hardware
1159602,910-D7GE-081-SN,163601,"Digital Signage, Video Wall Components",Hardware
1161489,41074,163531,Other Hardware,Materials
1170548,RJEXTC6-105,163531,Other Hardware,Materials
1170572,41075,163531,Other Hardware,Materials
1174308,MVC400-C4-000,163629,Video and Audio Conferencing,Hardware
1174337,1290036UK,163461,"LED Screens, Monitors and TVs",Hardware
1174617,25HK-AB-050A400-D56-1,163531,Other Hardware,Materials
1178328,SSD2869-Y,163433,"LCD Screens, Monitors and TVs",Hardware
1184797,487P-87300-160,494326,Software and Licensing (Physical),Software
1192267,SC-CLOUD-ISUITE-SRV-LICENSE,494326,Software and Licensing (Physical),Software
1192298,SC-CLOUD-LIC-BOX-OFFICE,494326,Software and Licensing (Physical),Software
1192333,SC-CLOUDBASICROOM,494326,Software and Licensing (Physical),Software
1192400,SC-CLOUD-BASICDESK-RENEW,494326,Software and Licensing (Physical),Software
1201777,60005054,163601,"Digital Signage, Video Wall Components",Hardware
1201807,PMVTROLLEY2,163510,"Mounts, Trollies etc",Hardware
1201828,42526,163531,Other Hardware,Materials
1201855,43333,163531,Other Hardware,Materials
1201881,CG54455,163531,Other Hardware,Materials
1201905,A10-010,163629,Video and Audio Conferencing,Hardware
1201979,77HD419-10,163531,Other Hardware,Materials
1209628,JBL0780,163615,Speakers,Hardware
1209684,GS305EP-100UKS,163356,Signal Distribution,Hardware
1233537,SC-CLOUD-SERVER-RENEW,494326,Software and Licensing (Physical),Software
